order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,delivery_time_gap,delivery_time_gap_hrs,purchase_to_approval_hours,approval_to_delivery_hours,purchase_to_delivery_hours
Axfy13Hk4PIk,hCT0x9JiGXBQ,delivered,2017-10-22 18:57:54,2017-10-22 19:14:13,2017-10-26 22:19:52,2017-11-09,13 days 01:40:08,313.6688888888889,0.27194444444444443,99.09416666666667,99.36611111111111
v6px92oS8cLG,PxA7fv9spyhx,delivered,2018-06-20 21:40:31,2018-06-20 22:20:20,2018-07-03 22:51:22,2018-07-24,20 days 01:08:38,481.1438888888889,0.6636111111111112,312.51722222222224,313.18083333333334
Ulpf9skrhjfm,g3nXeJkGI0Qw,delivered,2018-02-16 16:19:31,2018-02-17 16:15:35,2018-02-27 01:29:50,2018-03-08,8 days 22:30:10,214.50277777777777,23.934444444444445,225.2375,249.17194444444445
bwJVWupf2keN,EOEsCQ6QlpIg,delivered,2018-08-18 18:04:29,2018-08-18 18:15:16,2018-08-27 20:03:51,2018-09-19,22 days 03:56:09,531.9358333333333,0.17972222222222223,217.80972222222223,217.98944444444444
Dd0QnrMk9Cj5,mVz5LO2Vd6cL,delivered,2017-12-22 16:44:04,2017-12-22 17:31:31,2018-01-05 19:22:49,2018-01-18,12 days 04:37:11,292.6197222222222,0.7908333333333334,337.855,338.64583333333337
VjTVGzqe8U6R,UkqnhxmX7YMP,delivered,2017-09-01 14:38:16,2017-09-01 14:50:24,2017-09-15 18:57:50,2017-09-26,10 days 05:02:10,245.0361111111111,0.20222222222222222,340.12388888888887,340.3261111111111
xNba906m4TM1,85jiDiGSfhTu,delivered,2018-04-23 21:03:00,2018-04-24 18:18:18,2018-04-25 20:14:38,2018-05-04,8 days 03:45:22,195.75611111111112,21.255,25.93888888888889,47.19388888888889
VEDSMTavbQwk,gDdkaN8b9s1g,delivered,2018-02-23 14:49:39,2018-02-23 15:16:13,2018-04-02 14:12:50,2018-03-15,-19 days +09:47:10,-446.2138888888889,0.44277777777777777,910.9436111111111,911.3863888888889
DzNM8wrcMGFH,9Csx6oXlpLl1,delivered,2017-11-24 19:12:37,2017-11-25 04:54:03,2017-12-11 13:09:32,2017-12-14,2 days 10:50:28,58.84111111111111,9.690555555555555,392.25805555555553,401.94861111111106
NpJz7zF9U1ae,gZTPKLPRnreg,delivered,2017-11-30 11:48:21,2017-11-30 13:31:19,2017-12-14 16:38:47,2018-01-03,19 days 07:21:13,463.3536111111111,1.7161111111111111,339.12444444444446,340.84055555555557
mHyhzcUeLGj2,TDEBQrhIwApB,delivered,2018-04-02 22:39:59,2018-04-03 22:35:18,2018-04-13 18:12:30,2018-04-23,9 days 05:47:30,221.79166666666666,23.921944444444446,235.62,259.5419444444444
StM5K4TLyrt5,1k71TCYNFCzj,delivered,2018-05-30 09:25:25,2018-05-30 09:35:16,2018-06-21 18:22:15,2018-07-05,13 days 05:37:45,317.62916666666666,0.16416666666666666,536.7830555555555,536.9472222222222
